City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,kuraymah,18.55,31.85,15.22,18,92,6.97,SD,1707176121
264,nyurba,63.2842,118.3319,-26.4,100,99,0.73,RU,1707176121
265,bunia,1.5667,30.25,17.7,84,79,1.47,CD,1707176121
266,lagoa,39.05,-27.9833,16.52,91,98,6.29,PT,1707176121
267,susuman,62.7833,148.1667,-28.9,89,100,1.34,RU,1707176121
268,arraial do cabo,-22.9661,-42.0278,25.98,83,40,3.09,BR,1707176088
269,raja,8.4596,25.678,21.8,22,6,2.98,SS,1707176122
270,lashio,22.9333,97.75,9.11,81,0,0.39,MM,1707176122
271,hobyo,5.3505,48.5268,25.85,79,86,7.09,SO,1707176122
272,ambovombe,-25.1667,46.0833,22.39,93,99,2.03,MG,1707176122
273,filadelfia,39.9523,-75.1638,6.2,57,0,2.57,US,1707176008
274,lerwick,60.1545,-1.1494,4.0,98,100,12.69,GB,1707176122
275,danja,11.3764,7.5625,17.02,17,8,6.12,NG,1707176122
276,port alfred,-33.5906,26.891,20.66,96,7,0.45,ZA,1707176123
277,tralee,52.2704,-9.7026,10.55,87,100,6.05,IE,1707176123
278,al kharijah,25.4514,30.5464,10.55,47,0,2.87,EG,1707176123
279,sirjan,29.452,55.6814,2.82,25,0,3.02,IR,1707176123
280,nouadhibou,20.931,-17.0347,20.99,43,8,3.6,MR,1707176123
281,ghadamis,30.1337,9.5007,12.14,47,0,3.2,LY,1707176123
282,concepcion,-36.827,-73.0498,18.89,82,40,5.14,CL,1707175925
283,bamboo flat,11.7,92.7167,22.05,94,9,0.0,IN,1707176123
284,la ronge,55.1001,-105.2842,-4.86,80,100,3.09,CA,1707176059
285,shimokizukuri,40.8061,140.3861,-0.27,70,78,2.3,JP,1707176124
286,egilsstadir,65.2653,-14.3948,-10.05,73,0,3.6,IS,1707176124
287,ancud,-41.8697,-73.8203,15.04,90,90,3.13,CL,1707176124
288,lai chau,22.3997,103.4517,12.45,70,0,0.53,VN,1707176124
289,victorica,-36.2151,-65.4359,30.99,37,64,1.53,AR,1707176124
290,vrontados,38.4089,26.1328,14.64,78,0,4.4,GR,1707176129
291,olyokminsk,60.3736,120.4264,-21.09,94,94,0.95,RU,1707176129
292,arys,42.4252,68.795,2.6,65,96,3.54,KZ,1707176129
293,saint-philippe,-21.3585,55.7679,21.77,73,79,3.21,RE,1707176129
294,touros,-5.1989,-35.4608,27.58,77,26,5.38,BR,1707176129
295,pangkalpinang,-2.1333,106.1333,25.74,87,100,1.95,ID,1707175872
296,port macquarie,-31.4333,152.9167,29.94,62,62,5.2,AU,1707176130
297,maymana,35.9214,64.7836,5.34,39,0,4.28,AF,1707176130
298,leava,-14.3,-178.1667,28.57,79,100,5.43,WF,1707176130
299,bim son,20.0781,105.8603,20.96,95,100,2.27,VN,1707176130
300,carnarvon,-24.8667,113.6333,28.85,32,10,10.78,AU,1707176130
301,gobabis,-22.45,18.9667,25.12,49,86,4.47,NA,1707176131
